entity_raw,canonical_entity
cubital tunnel syndrome,cubital tunnel syndrome
subluxation,subluxation
pericardial reinforcement xxx eye,pericardial reinforcement xxx eye
corneal hemorrhage,corneal hemorrhage
hypotony,hypotony
corneal edema,corneal edema
drops,drops
ocuflox,ocuflox
healon,healon
gentamicin,gentamicin
adnexa,adnexa
"carpal tunnel syndrome.,3",carpal tunnel disease
"right olecranon bursitis.,postoperative",right olecranon bursitisprocedures
"right olecranon bursitis.,procedures",right olecranon bursitisprocedures
"olecranon bursa.,anesthesia",olecranon bursaanesthesia
subluxing,subluxing
olecranon,olecranon
hypertrophic bursa,hypertrophic bursa
myringosclerosis,myringosclerosis
tympanosclerosis,tympanosclerosis
erosion of the lenticular process,erosion of the lenticular process
"ml.,complications",mlcomplications
"adnexa bilaterally.,description",adnexa bilaterallydescription
carcinoma of the left,carcinoma of the left
"carcinoma of the left breast with dimpling, puckering, and erosion",carcinoma of the left breast with dimpling puckering and erosion
low back syndrome - low back pain,low back syndrome low back pain
tun-l,tunl
versed,versed
"fentanyl.,estimated blood loss",fentanylestimated blood loss
marcaine/triamcinolone,marcainetriamcinolone
neosporin ointment,neosporin ointment
barbotage,barbotage
triamcinolone,triamcinolone
adhesions,adhesions
tun l catheter,tun l catheter
multiparity,multiparity
"6, para 3, 0-3-3",6 para 3 033
clitoromegaly,clitoromegaly
"foraminal disc herniation of left l3-l4.,2.",foraminal disc herniation of left l3l42
"discectomy.,anesthesia",discectomyanesthesia
herniation,herniation
enlargement of the nerve,enlargement of the nerve
duramorph,duramorph
brachial artery arterial,brachial artery arterial
hypotensive,hypotensive
anasarca,anasarca
respiratory failure,respiratory failure
protein-calorie malnutrition,proteincalorie malnutrition
dark venous blood,dark venous blood
"bipolar electrocautery.,the tendons",bipolar electrocauterythe tendons
"bipolar electrocautery.,the flexor pollicis longus",bipolar electrocauterythe flexor pollicis longus
ventricular septal defect,ventricular septal defect
cefazolin,cefazolin
o2 saturation,o2 saturation
ped,ped
mitomycin c,mitomycin c
corneal hemorrhage hypotony,corneal hemorrhage hypotony
pilocarpine,pilocarpine
shallowing,shallowing
"strokes.,procedures",strokesprocedures
multiple massive strokes,multiple strokes
chf,chf
transglottic edema,transglottic edema
acetic acid,acetic acid
thyroid goiter,thyroid goiter
54-year-old,54yearold
complaints of dysphagia,complaints of dysphagia
dehiscence of the platysma,dehiscence of the platysma
trachea,trachea
